temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
Torneo de Clausura / Temporada 2024-2025,4,"Martes, 21 de Enero de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,Guadalajara,1,1,[51],[87],2.1379310344827585,2.1379310344827585,12.862068965517242,8.586206896551724,10.724137931034482,6.413793103448276,10.724137931034482,8.586206896551724,2.1379310344827585,6.413793103448276,8.586206896551724,4.275862068965517,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Martes, 21 de Enero de 2025",19:00 hrs.,Jalisco,Atlas,América,0,3,[],"[21, 38, 66]",0.0,2.7586206896551726,2.7586206896551726,12.89655172413793,2.7586206896551726,3.689655172413793,4.586206896551724,4.586206896551724,0.0,3.689655172413793,1.8275862068965518,3.689655172413793,0.9310344827586207,0.0
Torneo de Clausura / Temporada 2024-2025,4,"Martes, 21 de Enero de 2025",21:00 hrs.,TSM Corona,Santos Laguna,Necaxa,2,3,"[77, 90]","[31, 45, 59]",5.137931034482759,7.724137931034483,5.137931034482759,7.724137931034483,7.724137931034483,5.137931034482759,12.862068965517242,7.724137931034483,0.0,5.137931034482759,2.586206896551724,10.275862068965518,2.586206896551724,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Viernes, 24 de Enero de 2025",16:00 hrs. - 18:00 HC.,Caliente,Club Tijuana,Querétaro,0,1,[],[56],0.0,1.0689655172413792,12.862068965517242,0.0,5.344827586206897,3.206896551724138,2.1379310344827585,4.275862068965517,0.0,0.0,0.0,1.0689655172413792,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Sábado, 25 de Enero de 2025",15:45 hrs.,Ciudad De Los Deportes,América,León,5,0,"[12, 28, 41, 45, 90]",[],4.586206896551724,0.0,5.517241379310345,0.0,11.931034482758621,1.8275862068965518,4.586206896551724,3.689655172413793,1.8275862068965518,0.0,0.0,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Domingo, 26 de Enero de 2025",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Atlas,0,3,[],"[1, 48, 90]",0.0,7.724137931034483,5.137931034482759,12.89655172413793,10.275862068965518,12.89655172413793,12.862068965517242,7.724137931034483,12.862068965517242,2.586206896551724,7.724137931034483,5.137931034482759,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Domingo, 26 de Enero de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,Mazatlán FC,4,0,"[17, 18, 52, 85]",[],5.724137931034483,0.0,12.862068965517242,2.8620689655172415,5.724137931034483,0.0,7.137931034482759,4.275862068965517,7.137931034482759,1.4137931034482758,0.0,4.275862068965517,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Domingo, 26 de Enero de 2025",17:05 hrs.,Estadio AKRON,Guadalajara,Rayadas,0,1,[],[90],0.0,1.6206896551724137,12.862068965517242,4.827586206896552,0.0,1.6206896551724137,8.03448275862069,8.03448275862069,4.827586206896552,0.0,0.0,1.6206896551724137,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Domingo, 26 de Enero de 2025",19:06 hrs.,Universitario,Tigres,Toluca,5,0,"[6, 35, 39, 54, 80]",[],7.137931034482759,0.0,12.862068965517242,0.0,5.724137931034483,1.4137931034482758,7.137931034482759,7.137931034482759,4.275862068965517,0.0,0.0,2.8620689655172415,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Domingo, 26 de Enero de 2025",21:10 hrs.,Hidalgo,Pachuca,Atlético de San Luis,5,0,"[1, 3, 29, 49, 75]",[],5.344827586206897,0.0,11.793103448275861,1.0689655172413792,3.206896551724138,1.0689655172413792,5.344827586206897,5.344827586206897,1.0689655172413792,1.0689655172413792,1.0689655172413792,2.1379310344827585,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Lunes, 27 de Enero de 2025",18:00 hrs.,Victoria,Necaxa,Pumas,1,4,[20],"[25, 45, 45, 72]",1.2758620689655173,5.137931034482759,2.586206896551724,7.724137931034483,2.586206896551724,12.89655172413793,5.137931034482759,6.413793103448276,1.2758620689655173,0.0,3.8620689655172415,3.8620689655172415,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,5,"Lunes, 27 de Enero de 2025",21:00 hrs.,TSM Corona,Santos Laguna,FC Juárez,1,2,[90],"[12, 74]",2.586206896551724,5.137931034482759,7.724137931034483,7.724137931034483,10.275862068965518,2.586206896551724,10.275862068965518,12.89655172413793,0.0,2.586206896551724,2.586206896551724,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,6,"Viernes, 31 de Enero de 2025",17:00 hrs.,Jalisco,Atlas,Cruz Azul,1,1,[50],[78],1.8275862068965518,1.8275862068965518,11.03448275862069,12.89655172413793,5.517241379310345,5.517241379310345,5.517241379310345,9.172413793103448,0.0,5.517241379310345,3.689655172413793,3.689655172413793,0.0,1.8275862068965518
Torneo de Clausura / Temporada 2024-2025,6,"Viernes, 31 de Enero de 2025",17:00 hrs.,Olímpico Universitario,Pumas,Toluca,3,0,"[17, 51, 88]",[],7.724137931034483,0.0,10.275862068965518,12.89655172413793,12.862068965517242,12.89655172413793,10.275862068965518,10.275862068965518,12.862068965517242,0.0,5.137931034482759,2.586206896551724,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,6,"Viernes, 31 de Enero de 2025",19:00 hrs.,La Corregidora,Querétaro,Tigres,1,1,[10],[50],0.9310344827586207,0.9310344827586207,0.9310344827586207,10.10344827586207,0.0,11.931034482758621,4.586206896551724,3.689655172413793,0.0,0.0,0.9310344827586207,1.8275862068965518,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,6,"Viernes, 31 de Enero de 2025",19:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Santos Laguna,3,0,"[33, 45, 90]",[],4.827586206896552,0.0,6.448275862068965,12.89655172413793,4.827586206896552,1.6206896551724137,8.03448275862069,6.413793103448276,1.6206896551724137,6.413793103448276,3.206896551724138,3.206896551724138,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,6,"Domingo, 2 de Febrero de 2025",17:00 hrs.,Victoria,Necaxa,Puebla F.C.,1,1,[1],[64],1.8275862068965518,1.8275862068965518,7.344827586206897,7.344827586206897,7.344827586206897,3.689655172413793,7.344827586206897,7.344827586206897,12.862068965517242,1.8275862068965518,3.689655172413793,9.172413793103448,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,6,"Domingo, 2 de Febrero de 2025",19:10 hrs.,Estadio BBVA,Rayadas,Club Tijuana,1,1,[43],[57],1.0689655172413792,1.0689655172413792,2.1379310344827585,11.793103448275861,2.1379310344827585,5.344827586206897,5.344827586206897,5.344827586206897,2.1379310344827585,0.0,1.0689655172413792,2.1379310344827585,1.0689655172413792,0.0
Torneo de Clausura / Temporada 2024-2025,6,"Domingo, 2 de Febrero de 2025",20:06 hrs. - 21:06 HC.,El Encanto,Mazatlán FC,Guadalajara,0,8,[],"[17, 47, 49, 53, 64, 73, 78, 87]",0.0,8.586206896551724,0.0,7.517241379310345,0.034482758620689655,12.89655172413793,3.206896551724138,5.344827586206897,1.0689655172413792,5.344827586206897,2.1379310344827585,1.0689655172413792,1.0689655172413792,0.0
