,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
141,Torneo de Clausura / Temporada 2024-2025,16,"Domingo, 13 de Abril de 2025",19:00 hrs.,Hidalgo,Pachuca,Guadalajara,1,0,[89],[],1.0,0.0,6.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0
142,Torneo de Clausura / Temporada 2024-2025,16,"Lunes, 14 de Abril de 2025",19:00 hrs.,Nou Camp,León,Santos Laguna,3,1,"[14, 43, 85]",[55],3.0,1.0,4.0,6.0,4.0,1.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
143,Torneo de Clausura / Temporada 2024-2025,16,"Lunes, 14 de Abril de 2025",20:00 hrs.,Estadio BBVA,Rayadas,Querétaro,3,1,"[17, 45, 67]",[89],3.0,1.0,0.0,1.0,6.0,2.0,5.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0
144,Torneo de Clausura / Temporada 2024-2025,17,"Jueves, 17 de Abril de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,FC Juárez,5,0,"[11, 33, 37, 69, 88]",[],5.0,0.0,7.0,2.0,9.0,1.0,4.0,5.0,2.0,5.0,1.0,4.0,0.0,0.0
145,Torneo de Clausura / Temporada 2024-2025,17,"Jueves, 17 de Abril de 2025",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Puebla F.C.,1,0,[41],[],1.0,0.0,3.0,6.0,3.0,10.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
146,Torneo de Clausura / Temporada 2024-2025,17,"Jueves, 17 de Abril de 2025",19:05 hrs.,Estadio AKRON,Guadalajara,Pumas,0,0,[],[],0.0,0.0,4.0,7.0,3.0,2.0,5.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0
147,Torneo de Clausura / Temporada 2024-2025,17,"Jueves, 17 de Abril de 2025",20:06 hrs. - 21:06 HC.,El Encanto,Mazatlán FC,Santos Laguna,1,2,[30],"[38, 69]",1.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
148,Torneo de Clausura / Temporada 2024-2025,17,"Viernes, 18 de Abril de 2025",17:00 hrs.,La Corregidora,Querétaro,Necaxa,1,0,[73],[],1.0,0.0,5.0,3.0,7.0,0.0,5.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0
149,Torneo de Clausura / Temporada 2024-2025,17,"Viernes, 18 de Abril de 2025",17:00 hrs.,Nemesio Diez,Toluca,América,4,3,"[3, 10, 51, 53]","[21, 43, 67]",4.0,3.0,3.0,8.0,0.0,7.0,4.0,4.0,1.0,6.0,0.0,2.0,0.0,0.0
150,Torneo de Clausura / Temporada 2024-2025,17,"Viernes, 18 de Abril de 2025",18:00 hrs. - 19:00 HC.,Caliente,Club Tijuana,Atlas,0,1,[],[71],0.0,1.0,4.0,1.0,7.0,3.0,3.0,4.0,6.0,2.0,1.0,0.0,1.0,0.0
151,Torneo de Clausura / Temporada 2024-2025,17,"Viernes, 18 de Abril de 2025",19:00 hrs.,Hidalgo,Pachuca,Tigres,0,0,[],[],0.0,0.0,8.0,4.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0,1.0,0.0,0.0
152,Torneo de Clausura / Temporada 2024-2025,17,"Viernes, 18 de Abril de 2025",20:10 hrs.,Estadio BBVA,Rayadas,León,2,0,"[2, 24]",[],2.0,0.0,1.0,13.0,2.0,3.0,4.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0
